run_id,model_label,difficulty,num_tasks,num_parsed,num_failures,expected_valid_parsed_tasks,gold_bearing_parsed_tasks,parse_success_rate,conditional_validity_rate,validity_expectation_alignment_rate,validity_expectation_alignment_rate_e2e,invalidity_rate,trace_grounding_rate,direct_f1,closure_f1,closure_preservation_rate,abstention_rate,overcommitment_rate,contradiction_detection_rate,avg_first_violation_step,analysis_focus
2026-04-19_160821UTC,DeepSeek R1 7B,empty_gold,30,25,5,25,0,0.8333333333333334,1.0,1.0,0.8333333333333334,0.0,1.0,,,0.56,0.12,0.88,0.0,,consistency
2026-04-19_160821UTC,DeepSeek R1 7B,high_complexity,42,31,11,31,31,0.7380952380952381,1.0,1.0,0.7380952380952381,0.0,0.9032258064516129,0.6388888888888888,0.8126036484245439,0.8064516129032258,0.0,0.0,0.0,1,fidelity
2026-04-19_160821UTC,DeepSeek R1 7B,low_complexity,51,38,13,22,22,0.7450980392156863,0.9210526315789473,0.6052631578947368,0.45098039215686275,0.07894736842105263,0.8947368421052632,0.6067415730337078,0.702290076335878,0.5909090909090909,0.07894736842105263,0.0,0.05263157894736842,0.6,fidelity
2026-04-19_160821UTC,DeepSeek R1 7B,medium_complexity,27,22,5,22,22,0.8148148148148148,1.0,1.0,0.8148148148148148,0.0,1.0,0.717948717948718,0.8255813953488372,0.8181818181818182,0.0,0.0,0.0,,fidelity
2026-04-19_163647UTC,Qwen 3.5 9B,empty_gold,30,26,4,26,0,0.8666666666666667,1.0,1.0,0.8666666666666667,0.0,1.0,,,0.9615384615384616,0.34615384615384615,0.6538461538461539,0.0,,consistency
2026-04-19_163647UTC,Qwen 3.5 9B,high_complexity,42,37,5,37,37,0.8809523809523809,1.0,1.0,0.8809523809523809,0.0,1.0,0.8305084745762712,1.0,1.0,0.0,0.0,0.0,,fidelity
2026-04-19_163647UTC,Qwen 3.5 9B,low_complexity,51,50,1,31,31,0.9803921568627451,0.72,0.9,0.8823529411764706,0.28,0.88,0.6923076923076922,0.8287292817679558,0.6451612903225806,0.04,0.0,0.28,1,fidelity
2026-04-19_163647UTC,Qwen 3.5 9B,medium_complexity,27,27,0,27,27,1.0,1.0,1.0,1.0,0.0,1.0,0.8535031847133758,0.8878504672897196,0.8518518518518519,0.0,0.0,0.0,,fidelity
2026-04-19_192221UTC,Llama 3.1 8B,empty_gold,30,30,0,30,0,1.0,1.0,1.0,1.0,0.0,1.0,,,0.03333333333333333,0.0,1.0,0.0,,consistency
2026-04-19_192221UTC,Llama 3.1 8B,high_complexity,42,42,0,42,42,1.0,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.023809523809523808,0.9761904761904762,0.6584158415841584,0.8038976857490865,0.8333333333333334,0.0,0.0,0.023809523809523808,1.5,fidelity
2026-04-19_192221UTC,Llama 3.1 8B,low_complexity,51,51,0,31,31,1.0,0.6470588235294118,0.9607843137254902,0.9607843137254902,0.35294117647058826,0.9019607843137255,0.2698412698412698,0.28089887640449435,0.12903225806451613,0.0,0.0,0.35294117647058826,1.0869565217391304,fidelity
2026-04-19_192221UTC,Llama 3.1 8B,medium_complexity,27,27,0,27,27,1.0,1.0,1.0,1.0,0.0,1.0,0.6301369863013698,0.6854460093896714,0.7777777777777778,0.0,0.0,0.0,,fidelity
2026-04-19_193445UTC,Mistral 7B,empty_gold,30,28,2,28,0,0.9333333333333333,0.9642857142857143,0.9642857142857143,0.9,0.03571428571428571,0.8928571428571429,,,0.03571428571428571,0.0,1.0,0.03571428571428571,1,consistency
2026-04-19_193445UTC,Mistral 7B,high_complexity,42,41,1,41,41,0.9761904761904762,1.0,1.0,0.9761904761904762,0.0,0.6585365853658537,0.3288590604026846,0.3223443223443223,0.21951219512195122,0.0,0.0,0.0,1,fidelity
2026-04-19_193445UTC,Mistral 7B,low_complexity,51,49,2,29,29,0.9607843137254902,0.673469387755102,0.9183673469387755,0.8823529411764706,0.32653061224489793,0.7959183673469388,0.2549019607843137,0.3142857142857143,0.10344827586206896,0.0,0.0,0.32653061224489793,1,fidelity
2026-04-19_193445UTC,Mistral 7B,medium_complexity,27,27,0,27,27,1.0,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.037037037037037035,0.8148148148148148,0.5925925925925926,0.6739130434782609,0.48148148148148145,0.0,0.0,0.037037037037037035,1,fidelity
2026-04-19_194525UTC,Gemma 3 12B,empty_gold,30,30,0,30,0,1.0,1.0,1.0,1.0,0.0,1.0,,,0.7333333333333333,0.7333333333333333,0.26666666666666666,0.0,,consistency
2026-04-19_194525UTC,Gemma 3 12B,high_complexity,42,42,0,42,42,1.0,1.0,1.0,1.0,0.0,1.0,0.6802030456852792,0.7917146144994247,0.7857142857142857,0.0,0.0,0.0,,fidelity
2026-04-19_194525UTC,Gemma 3 12B,low_complexity,51,51,0,31,31,1.0,1.0,0.6078431372549019,0.6078431372549019,0.0,1.0,0.5739130434782608,0.6545454545454547,0.3548387096774194,0.39215686274509803,0.0,0.0,,fidelity
2026-04-19_194525UTC,Gemma 3 12B,medium_complexity,27,27,0,27,27,1.0,1.0,1.0,1.0,0.0,1.0,0.6330935251798561,0.7628865979381443,0.7037037037037037,0.0,0.0,0.0,,fidelity
